Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Dewpoint Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Solar Azimuth Angle [deg](TimeStep),Environment:Site Solar Altitude Angle [deg](TimeStep) 
 07/21  18:00:00,30.452,0.01842849464211106,14.521704698841848,67.69993536347445,495.9645390908308,284.3838064743759,15.432340719594734 
 07/21  18:15:00,29.882,0.015528773697315803,14.303954397857389,56.872584068795206,416.6441931317219,286.47631871838274,12.569255499469673 
 07/21  18:30:00,29.312,0.012660255754057607,14.084516672006059,43.2308258018111,316.7057173422218,288.58946797594416,9.73708289822017 
 07/21  18:45:00,28.742,0.009804983027987572,13.86334545686828,26.432768914633446,193.64443970671178,290.73255981104825,6.940077134712992 
 07/21  19:00:00,28.172,0.007291065373143759,13.640447670956009,8.52838633728791,62.478304835185895,292.9146194072809,4.182758755294974 
 07/21  19:15:00,27.754,0.005445777710070921,13.475866075671734,0.04428206748181811,0.32440703334050947,295.1444905956524,1.4699692126492223 
 07/21  19:30:00,27.336000000000002,0.003605861481957107,13.310329430010995,0.0,0.0,297.43090551932846,-1.1930753529610507 
 07/21  19:45:00,26.918,0.0,13.14382695431685,0.0,0.0,299.7825251231101,-3.8007311322835604 
 07/21  20:00:00,26.5,0.0,12.97635391950752,0.0,0.0,302.2079488280195,-6.346875044166751 
 07/21  20:15:00,26.158,0.0,12.838591840787654,0.0,0.0,304.7156900934849,-8.824855760309 
 07/21  20:30:00,25.816000000000003,-0.003054368502963176,12.700180804945377,0.0,0.0,307.31411311356356,-11.227449405251466 
 07/21  20:45:00,25.474000000000004,-0.004537296759469836,12.561102254050514,0.0,0.0,310.01132475759965,-13.546822927034823 
 07/21  21:00:00,25.132,-0.006036395700728889,12.42133977205597,0.0,0.0,312.8150152734938,-15.774509230734857 
 07/21  21:15:00,24.79,-0.007511665692859491,12.280913417153112,0.0,0.0,315.7322415702385,-17.901399375554938 
 07/21  21:30:00,24.448,-0.008984225684555664,12.139807291906672,0.0,0.0,318.7691485584421,-19.91775836203192 
 07/21  21:45:00,24.106,-0.0104724833516437,11.998003928020426,0.0,0.0,321.93062761999334,-21.813272104781408 
 07/21  22:00:00,23.764000000000003,-0.011937993313209484,11.855520656836097,0.0,0.0,325.219917366003,-23.577133823219743 
 07/21  22:15:00,23.498,-0.01308880395816996,11.744211489693303,0.0,0.0,328.6381608008443,-25.198177906978007 
 07/21  22:30:00,23.232,-0.014216548290853014,11.632490460122884,0.0,0.0,332.183944728361,-26.6650678644013 
 07/21  22:45:00,22.966,-0.015362742449610688,11.520332974016386,0.0,0.0,335.85286074308533,-27.966541783690648 
 07/21  23:00:00,22.700000000000003,-0.016486301035498502,11.407760929370264,0.0,0.0,339.637140274632,-29.091713520984367 
 07/21  23:15:00,22.434000000000005,-0.017628560982040332,11.294743581024223,0.0,0.0,343.5254254380203,-30.030420634998755 
 07/21  23:30:00,22.168000000000003,-0.018747634600229976,11.181309143059174,0.0,0.0,347.5027385727845,-30.77360155366941 
 07/21  23:45:00,21.902,-0.019884505663562327,11.0674242954747,0.0,0.0,351.55070231979556,-31.31367593174992 
 07/21  24:00:00,21.636000000000003,-0.02101976124728774,10.953103312820202,0.0,0.0,355.6480369558816,-31.644895589249305 
